"cases","defennm","NewOrgname","NewUltorg"
"{09-2009-2508}","Lockheed-Martin Corporation","Lockheed Martin",
"{09-2005-0275}","Lockheed Martin Electro-Optical Systems, Inc.","Lockheed Martin",
"{10-2003-0055}","Lockheed Martin Corportaion","Lockheed Martin",
"{09-2005-0275,10-2006-0321,09-2008-2521}","Lockheed Martin Corporation","Lockheed Martin",
"{09-2005-0223}","Lockheed Martin Corp.","Lockheed Martin",
"{04-2005-9033}","LOCKHEED MARTIN CORP.","Lockheed Martin",
"{09-2007-0073}","Lockheed Martin","Lockheed Martin",
"{04-2001-9015,03-2001-0427}","LOCKHEED MARTIN","Lockheed Martin",
"{09-2004-0357}","Litton Industries","Litton Industries",
"{09-2003-0225}","Lincoln Property Company","Lincoln Property",
"{01-2009-5555}","LIFE TECHNOLOGIES CORPORATION","Life Technologies Corp",
"{03-2007-0298}","LIBERTY PROPERTY TRUST","Liberty Property Trust",
"{03-2007-0298}","LIBERTY PROPERTY LIMITED PARTNERSHIP","Liberty Property LP","Liberty Property Trust"
"{07-2001-0304}","LEVER BROTHERS COMPANY","Lever Brothers","Unilever"
"{02-2006-0028,02-2005-0025}","Leucadia National Corporation","Leucadia National",
"{04-2003-3504}","LENNOX INTERNATIONAL, INC. fka HEATCRAFT, INC.","Lennox International",
"{04-2003-3504}","LEGGETT & PLATT, INC.","Leggett & Platt",
"{09-2009-2526}","Lear Siegler Diversified Holdings","Lear Corp",
"{02-2009-2006}","Lear Seating Corp.","Lear Corp",
"{05-2004-0524}","LEAR CORPORATION EEDS & INTERIORS","Lear Corp",
"{05-2001-0401}","LEAR CORPORATION AUTOMOTIVE SYSTEMS","Lear Corp",
"{04-2004-3757}","LEAR CORPORATION AUTOMOTIVE HOLDINGS","Lear Corp",
"{02-2007-2006}","Lanxess Corporation","Lanxess Corp",
"{02-2008-2011}","LANXESS Corporation","Lanxess Corp",
"{05-2007-3919}","LANXESS CORPORATION","Lanxess Corp",
"{04-2004-9006}","LANGLEY AIR FORCE BASE","US Air Force","US Dept of Defense"
"{07-2001-0304}","LAND O' LAKES, INC","Land O'Lakes",
"{06-2004-3407}","Lafarge North America, Inc.","LaFarge North America",
"{02-2004-0024}","LaFarge North America, Inc.","LaFarge North America",
"{05-2004-0806,04-2004-9039}","LAFARGE NORTH AMERICA, INC.","LaFarge North America",
"{03-2005-0075,07-2005-0018}","LAFARGE NORTH AMERICA, INC","LaFarge North America",
"{05-2009-1016}","LAFARGE NORTH AMERICA INC.","LaFarge North America",
"{04-2004-9039}","LAFARGE MIDWEST, INC.","LaFarge Midwest","LaFarge North America"
"{10-2004-0257}","LAFARGE CORPORATION SEATTLE PLANT","LaFarge North America",
"{02-2004-0024}","LaFarge Building Materials, Inc.","LaFarge Building Materials","LaFarge North America"
"{04-2004-9039}","LAFARGE BUILDING MATERIALS, INC.","LaFarge Building Materials","LaFarge North America"
"{08-2008-0016}","La Quinta Properties","La Quinta Properties","Blackstone Group"
"{09-2006-0081}","L3 Communication Corporation","L-3 Communications",
"{07-2001-0304}","KROGER COMPANY","Kroger Co",
"{04-2001-9026}","KRAFT FOODS NORTH AMERICA, INC.","Kraft Foods","Altria Group"
"{05-2005-0638}","KRAFT FOODS GLOBAL, INC.","Kraft Foods","Altria Group"
"{01-2009-0528}","KRAFT FOODS GLOBAL INC","Kraft Foods","Altria Group"
"{04-2004-9006}","KOHLER","Kohler Co",
"{04-2005-3754}","KOCH SULFUR PRODUCTS COMPANY, LLC","Koch Sulfer Products","Koch Industries"
"{04-2001-9049}","KOCH SULFUR PRODUCTS COMPANY","Koch Sulfer Products","Koch Industries"
"{07-2003-0097}","KOCH PIPELINE COMPANY","Koch Pipeline Co","Koch Industries"
"{04-2003-3504}","KOCH NITROGEN CO.","Koch Nitrogen","Koch Industries"
"{03-2001-0427}","KNOLL INC","Knoll Inc",
"{09-2004-0357}","KMart Corporation","Kmart Corp","Sears Holdings Corp"
"{05-2001-0420,04-2003-9004}","KMART CORPORATION","Kmart Corp","Sears Holdings Corp"
"{03-2006-0146}","KINDER MORGN OPERATING L.P ""D"".","Kinder Morgan Inc",
"{02-2009-7306}","Kinder Morgan Liquids Terminals, LLC","Kinder Morgan Inc",
"{09-2004-0355}","Kinder Morgan Energy Partners LP","Kinder Morgan Inc",
"{04-2002-3753}","Kimmins Contracting Corp.","Kimmins Contracting",
"{09-2006-0081}","Kimberly-Clark Corporation","Kimberly-Clark Corp",
"{03-2007-0033}","Kimberly Clark Corporation","Kimberly-Clark Corp",
"{05-2003-0405}","KIMBERLY CLARK CORPORATION","Kimberly-Clark Corp",
"{08-2006-0080}","Kerr-McGee Nevada","Kerr-McGee Nevada","Kerr-McGee Corp"
"{10-2003-0011,09-2002-0174}","Kerr-McGee Corporation","Kerr-McGee Corp",
"{05-2004-0509}","KERR-MCGEE CHEMICAL, LLC","Kerr-McGee Chemical","Kerr-McGee Corp"
"{04-2003-3504}","KERR-MCGEE CHEMICAL LLC","Kerr-McGee Chemical","Kerr-McGee Corp"
"{04-2003-3504}","KERR-MCGEE CHEMICAL CORP.","Kerr-McGee Chemical","Kerr-McGee Corp"
"{05-2005-0617}","KERR-MCGEE 5 CHEMICAL LLC","Kerr-McGee Chemical","Kerr-McGee Corp"
"{08-2006-0080,10-2003-0157}","Kerr-McGee","Kerr-McGee Corp",
"{04-2003-9004}","KERR-MCGEE","Kerr-McGee Corp",
"{05-2002-0369}","KERR MCGEE","Kerr-McGee Corp",
"{04-2002-9067,04-2006-9012}","KENTUCKY UTILITIES COMPANY","Kentucky Utilities",
"{08-2007-0143}","Kennecott Utah Copper Corporation","Kennecott Utah Copper","Rio Tinto Group"
"{02-2001-2035}","KENNAMETAL INC.","Kennametal Inc",
"{02-2006-0027}","Kennametal Inc","Kennametal Inc",
"{09-2003-0225}","Kellogg Brown & Root","KBR Inc",
"{08-2006-0080}","Kee-McGee Rocky Mountain Corporation","Kerr-McGee Rocky Mountain Corp","Kerr-McGee Corp"
"{06-2003-2137}","KB Homes/Desert Pines II and III","KB Home",
"{09-2003-0165}","KB Homes","KB Home",
"{04-2003-9101}","KB HOMES","KB Home",
"{09-2006-0081}","Kaufman & Broad Homes Corporation","KB Home",
"{06-2007-2830}","Kansas City Southern Railway","Kansas City Southern Railway","Kansas City Southern"
"{06-2007-2830}","Kansas City Southern Railway","Kansas City Southern Railway","Kansas City Southern"
"{09-2006-0082}","Kaiser Foundation Health Plan","Kaiser Foundation Health Plan","Kaiser Permanente"
"{09-2006-0082}","Kaiser Foundation Health Plan","Kaiser Foundation Health Plan","Kaiser Permanente"
"{03-2003-0056}","Kaiser Aluminum Corporation","Kaiser Aluminum & Chemical","Maxxam Inc"
"{03-2003-0056}","Kaiser Aluminum & Chemical Corp","Kaiser Aluminum & Chemical","Maxxam Inc"
"{03-2003-0056}","Kaiser Aluminum & Chemical Corp","Kaiser Aluminum & Chemical","Maxxam Inc"
"{04-2001-9015}","K-MART","Kmart Corp","Sears Holdings Corp"
"{05-2005-4567}","JUPITER ALUMINUM CORP.","Jupiter Aluminum",
"{03-2007-0028}","JP MORGAN CHASE BANK, N.A.","JPMorgan Chase & Co",
"{04-2002-3753}","Johnson Controls, Inc. f/k/a Globe Union","Johnson Controls",
"{04-2002-3753}","Johnson Controls, Inc. f/k/a Globe Union","Johnson Controls",
"{05-2003-0415}","JOHNSON CONTROLS, INC.","Johnson Controls",
"{05-2003-0415}","JOHNSON CONTROLS, INC.","Johnson Controls",
"{05-2003-0445}","JOHNSON CONTROLS INCORPORATED","Johnson Controls",
"{05-2003-0445}","JOHNSON CONTROLS INCORPORATED","Johnson Controls",
"{04-2001-3758}","Johnson Controls","Johnson Controls",
"{04-2001-3758}","Johnson Controls","Johnson Controls",
"{05-2005-0635}","JOHNSON CONTROLS","Johnson Controls",
"{05-2005-0635}","JOHNSON CONTROLS","Johnson Controls",
"{05-2003-4087}","JOHNSON CONTROL, INC.","Johnson Controls",
"{09-2006-0081,02-2005-0014,02-2008-2011,02-2004-0006}","Johnson & Johnson","Johnson & Johnson",
"{02-2005-0014,02-2008-2011,02-2004-0006,09-2006-0081}","Johnson & Johnson","Johnson & Johnson",
"{02-2008-2011,09-2006-0081,02-2005-0014,02-2004-0006}","Johnson & Johnson","Johnson & Johnson",
"{05-2007-0822}","JOHNS MANVILLE","Johns Manville Corp","Berkshire Hathaway"
"{03-2001-0427}","JOHNS HOPKINS UNIVERSITY","Johns Hopkins University",
"{02-2009-2006}","Jim Beam Brands Co.","Jim Beam Brands","Fortune Brands"
"{05-2001-0420}","JEFFERSON SMURFIT CORPORATION","Smurfit-Stone Container",
"{05-2003-0405}","JCI JONES CHEMICALS, INC.","JCI Jones Chemicals",
"{10-2007-0223}","J.R. Simplot Company","JR Simplot Co",
"{10-2009-0230}","J.R. SIMPLOT COMPANY","JR Simplot Co",
"{04-2003-3504}","ITW PASLODE, DIV. OF ILLINOIS TOOL WORKS, INC.","Illinois Tool Works",
"{04-2006-3797}","ITW","Illinois Tool Works",
"{04-2010-9005}","ITT THOMPSON INDUSTRIES","ITT Thompson Industries","ITT Corp"
"{03-2001-0427}","ITT INDUSTRIES, INC. F/K/A ITT CORP","ITT Industries","ITT Corp"
"{03-2001-0427}","ITT INDUSTRIES, INC. F/K/A ITT CORP","ITT Industries","ITT Corp"
"{07-2001-0304}","ITT INDUSTRIES","ITT Industries","ITT Corp"
"{07-2001-0304}","ITT INDUSTRIES","ITT Industries","ITT Corp"
"{02-2007-2009,02-2004-2011,09-2004-0357}","ITT Corporation","ITT Corp",
"{03-2001-0427}","ISPAT INLAND, INC.","Ispat Inland",
"{04-2007-3759}","ISP FREETOWN FINE CHEMICALS, INC.","ISP Freetown Fine Chemicals","International Specialty Products"
"{03-2004-0087}","ISP ENVIRONMENTAL SERVICES, INC./GAF CORPORATION","ISP Environmental Services","International Specialty Products"
"{02-2004-0006}","ISP Environmental Services Inc.","ISP Environmental Services","International Specialty Products"
"{02-2008-2011}","ISP Environmental Services Inc","ISP Environmental Services","International Specialty Products"
"{02-2004-2011}","ISP Chemicals LLC","ISP Chemicals","International Specialty Products"
"{04-2007-3759}","ISP CHEMICALS LLC","ISP Chemicals","International Specialty Products"
"{02-2007-2009}","ISP Chemicals Inc","ISP Chemicals","International Specialty Products"
"{09-2006-0081}","Irvine Company","Irvine Co",
"{07-2004-0256}","IOWA DEPARTMENT OF TRANSPORTATION","Iowa Dept of Transportation","State of Iowa"
"{09-2009-2527}","Invitrogen Corporation, Successor in interest to D","Invitrogen Corp","Life Technologies Corp"
"{09-2009-2527}","Invitrogen Corporation, Successor in interest to D","Invitrogen Corp","Life Technologies Corp"
"{04-2002-9002}","INVITROGEN CORP.","Invitrogen Corp","Life Technologies Corp"
"{04-2002-9002}","INVITROGEN CORP.","Invitrogen Corp","Life Technologies Corp"
"{06-2007-3410}","Invista S.A.R.L.","INVISTA","Koch Industries"
"{04-2006-9031,03-2007-0284}","INVISTA S.A.R.L.","INVISTA","Koch Industries"
"{05-2002-0093}","INTERNATIONAL TRUCK AND ENGINE CORPORATION","International Truck & Engine","Navistar International"
"{05-2001-0420}","INTERNATIONAL TRUCK AND ENGINE CORP.","International Truck & Engine","Navistar International"
"{05-2006-0738}","INTERNATIONAL TRUCK & ENGINE CORP.","International Truck & Engine","Navistar International"
"{09-2009-2527}","International Textile Group, Inc. (f/k/a Safety Co","International Textile Group","WL Ross & Co"
"{04-2002-3753,02-2009-2017}","International Paper Company","International Paper",
"{03-2001-0427,04-2003-3504,04-2008-3769}","INTERNATIONAL PAPER COMPANY","International Paper",
"{01-2009-0533,01-2004-0014}","INTERNATIONAL PAPER CO/ST REGIS PAPER/CHAMPION","International Paper",
"{02-2009-2006}","International Paper Co.","International Paper",
"{04-2003-3504,05-2009-1016}","INTERNATIONAL PAPER CO.","International Paper",
"{07-2001-0304,01-2009-5555,04-2002-9002,05-2002-0093,05-2003-0444}","INTERNATIONAL PAPER","International Paper",
"{02-2007-0015,09-2005-0275}","International Business Machines Corporation","IBM Corp",
"{03-2004-0411}","INTERNATIONAL BUSINESS MACHINES CORPORATION","IBM Corp",
"{02-2006-0015}","International Business Machines Corp.","IBM Corp",
"{02-2001-2001,03-2004-0087}","INTERNATIONAL BUSINESS MACHINES CORP","IBM Corp",
"{02-2009-2006}","Ingersoll-Rand Company","Ingersoll Rand",
"{01-2009-5555,04-2002-9001,01-2009-5555,07-2001-0304}","INGERSOLL-RAND COMPANY","Ingersoll Rand",
"{01-2001-0165}","INGERSOLL RAND COMPANY","Ingersoll Rand",
"{01-2009-5555}","INGERSOLL RAND COMAPNY RP","Ingersoll Rand",
"{02-2009-2006}","Indiana University","Indiana University",
"{03-2006-0163}","In Re: Mirant Potomac River LLC","Mirant Potomac River","Mirant Corp"
"{03-2001-0427}","IMTT-BC,F/K/A POWER DUFFRYN TERMINALS","IMTT Inc",
"{09-2005-0275}","Illinois Tool Works, Inc.","Illinois Tool Works",
"{04-2003-3504}","ILLINOIS TOOL WORKS, INC.","Illinois Tool Works",
"{03-2006-0051}","ILLINOIS TOOL WORKS INC.","Illinois Tool Works",
"{09-2006-0081}","Illinois Tool Works","Illinois Tool Works",
"{05-2002-0369}","ILLINOIS DEPARTMENT OF TRANSPORTATION","Illinois Dept of Transportation","State of Illinois"
"{04-2003-3504}","ILLINOIS CENTRAL/CANADIAN NATIONAL","Illinois Central Railroad","Canadian National Railway"
"{04-2007-3759}","ILLINOIS CENTRAL RAILROAD COMPANY","Illinois Central Railroad","Canadian National Railway"
"{10-2003-0132}","Idaho Transportation Department","Idaho Dept of Transportation","State of Idaho"
"{02-2009-2006}","ICI Americas, Inc.","ICI Americas Inc",
"{09-2004-0357}","ICI America","ICI Americas Inc",
"{02-2009-2006}","IBM Corporation","IBM Corp",
"{03-2004-0087}","IBM CORPORATION","IBM Corp",
"{02-2008-2011}","Hunt-Wesson, Inc., ConAgra Grocery Products Co.,","ConAgra Foods",
"{04-2004-9040}","HUNT SOUTHLAND REFINING COMPANY","Hunt Refining","Hunt Consolidated"
"{04-2004-9040}","HUNT REFINING COMPANY","Hunt Refining","Hunt Consolidated"
"{04-2003-3504}","HUGHES AIRCRAFT nka RAYTHEON SYSTEMS","Raytheon Co",
"{04-2003-3504,04-2005-9033}","HOWARD INDUSTRIES, INC.","Howard Industries",
"{05-2004-0547}","HONEYWELL, INC.","Honeywell International",
"{05-2009-1006,09-2008-2521,04-2002-3771}","Honeywell International, Inc.","Honeywell International",
"{04-2007-9035}","HONEYWELL INTERNATIONAL, INC.","Honeywell International",
"{03-2003-0188,02-2008-2011}","Honeywell International, Inc","Honeywell International",
"{03-2005-0390,03-2004-0087}","HONEYWELL INTERNATIONAL, INC","Honeywell International",
"{05-2006-0703}","HONEYWELL INTERNATIONAL INCORPORATED","Honeywell International",
"{09-2005-0229,02-2004-0006,02-2003-2012,02-2003-2013,09-2009-2528}","Honeywell International Inc.","Honeywell International",
"{05-2003-0405,05-2006-0737,05-2005-0638}","HONEYWELL INTERNATIONAL INC.","Honeywell International",
"{02-2007-2009}","Honeywell International inc","Honeywell International",
"{02-2004-2011,09-2010-2505,02-2007-2006}","Honeywell International Inc","Honeywell International",
"{02-2001-2001}","HONEYWELL INTERNATIONAL INC","Honeywell International",
"{05-2006-0738,01-2004-0005}","HONEYWELL INTERNATIONAL","Honeywell International",
"{04-2004-9006}","HONEYWELL INT'L","Honeywell International",
"{05-2003-0445}","HONEYWELL INC/ALLIED SIGNAL","Honeywell International",
"{05-2003-0415}","HONEYWELL INC.","Honeywell International",
"{07-2001-0304}","HONEYWELL INC","Honeywell International",
"{07-2008-0137}","HONEYWELL FEDERAL MANUFACTURING AND TECHNOLOGIES L","Honeywell International",
"{04-2008-3769}","HONEY INTERNATIONAL, INC.","Honeywell International",
"{06-2003-2136}","Home Depot/Alamogordo","Home Depot",
"{10-2003-0163}","Home Depot USA Inc","Home Depot",
"{08-2003-0244,09-2006-0081,05-2003-0651,01-2003-0187}","Home Depot","Home Depot",
"{07-2003-0348,04-2003-9100}","HOME DEPOT","Home Depot",
"{02-2001-2001}","HOFFMANN-LAROCHE INC","Hoffmann-La Roche","Roche Holdings"
"{02-2004-2011}","Hoffmann-La Roche Inc oboi & Roche Diagnostics","Hoffmann-La Roche","Roche Holdings"
"{02-2007-2009}","Hoffmann-La Roche Inc itself & Roche Diagnostics","Hoffmann-La Roche","Roche Holdings"
"{02-2008-2011,02-2007-2006}","Hoffmann-La Roche Inc","Hoffmann-La Roche","Roche Holdings"
"{02-2004-0006}","Hoffman-La Roche, Inc.","Hoffmann-La Roche","Roche Holdings"
"{07-2004-0256}","HOFFMAN-LA ROCHE INC/ROCHE VITAMINS INC","Hoffmann-La Roche","Roche Holdings"
"{04-2007-3759}","HOESCST CELANESE","Hoechst Celanese Corp","Sanofi-Aventis"
"{02-2009-2006}","Hoechst Marion Roussel, Inc.","Hoechst Marion Roussel","Sanofi-Aventis"
"{04-2004-9006}","HOECHST (fka CELANESE; nka CNA HOLDINGS, INC.)","Hoechst","Sanofi-Aventis"
"{02-2007-2009,02-2004-2011}","Hexcel Corporation","Hexcel Corp",
"{09-2003-0101}","Hexcel Corp.","Hexcel Corp",
"{09-2006-0081}","Hexcel","Hexcel Corp",
"{09-2005-0275}","Hewlett-Packard Company","Hewlett-Packard",
"{01-2004-0005}","HEWLETT PACKARD COMPNAY ON BEHALF OF APOLLO COMPUT","Hewlett-Packard",
"{01-2001-0165}","HEWLETT PACKARD COMPANY","Hewlett-Packard",
"{09-2003-0225}","Hewlett Packard Co.","Hewlett-Packard",
"{09-2006-0081}","Heublein Inc","Heublein Inc",
"{02-2007-2009}","Hess Corp itself & Atlantic Richfield Company","Hess Corp/Atlantic Richfield",
"{02-2004-2011}","Hess Corp & obo Atlantic Richfield Company","Hess Corp/Atlantic Richfield",
"{04-2004-3751}","HERTZ RENTAL TRUCKS","Hertz Corp","Ford Motor Co"
"{03-2001-0427}","HERTZ CORPORATION (THE)","Hertz Corp","Ford Motor Co"
"{09-2004-0357}","Hertz Corporation","Hertz Corp","Ford Motor Co"
"{04-2001-3754}","HERTZ CORPORATION","Hertz Corp","Ford Motor Co"
"{04-2003-3504}","HERTZ CORP.","Hertz Corp","Ford Motor Co"
"{02-2009-2006}","Hershey Foods Corp.","Hershey Co",
"{04-2002-9064}","HERCULES, INC.","Hercules Inc",
"{04-2010-3759}","HERCULES INCORPORATED","Hercules Inc","Ashland Inc"
"{03-2004-0087}","HERCULES INCORPORATED","Hercules Inc",
"{02-2001-2001}","HERCULES INC","Hercules Inc",
"{02-2004-2011,02-2007-2009}","Hercules Chemical Company Inc","Hercules Inc",
"{09-2009-2527}","Henkel of America, Inc., and Henkel Corporation","Henkel Corp","Henkel KGaA"
"{02-2009-2006}","Henkel of America, Inc.","Henkel Corp","Henkel KGaA"
"{09-2004-0357}","Henkel Corporation","Henkel Corp","Henkel KGaA"
"{03-2004-0087,04-2006-3797,07-2001-0304}","HENKEL CORPORATION","Henkel Corp","Henkel KGaA"
"{04-2002-9002,04-2002-9002}","HENKEL CORP.","Henkel Corp","Henkel KGaA"
"{09-2001-0029}","HAWAII DEPT. OF TRANSPORTATION","Hawaii Dept of Transportation","State of Hawaii"
"{02-2004-2011}","Hartz Consumer Group Inc (The) & Hartz Mountain","Hartz Mountain Industries",
"{02-2007-2009}","Hartz Consumer group (The) obo Hartz Mountain Corp","Hartz Mountain Industries",
"{09-2006-0081}","Harris Corporation","Harris Corp",
"{09-2006-0081}","Harris Corporation","Harris Corp",
"{04-2002-3753}","Harley-Davidson of Lakeland, Inc.","Harley-Davidson Inc",
"{03-2006-0912}","HARLEY DAVIDSON","Harley-Davidson Inc",
"{05-2002-0389,05-2002-0390}","HAMILTON-SUNDSTRAND CORPORATION","Hamilton Sundstrand","United Technologies"
"{05-2008-0917}","HAMILTON SUSTRAND","Hamilton Sundstrand","United Technologies"
"{09-2005-0275}","Hamilton Sundstrand Corporation","Hamilton Sundstrand","United Technologies"
"{04-2007-3759}","HAMILTON SUNDSTRAND CORP.","Hamilton Sundstrand","United Technologies"
"{07-2008-0137}","HALLMARK CARDS, INCORPORATED","Hallmark Cards",
"{07-2004-0256}","HALLMARK CARDS, INC","Hallmark Cards",
"{09-2009-2524,09-2002-0183}","Halliburton Energy Services, Inc.","Halliburton Energy Services","Halliburton Co"
"{09-2003-0225}","Halliburton Energy Services","Halliburton Energy Services","Halliburton Co"
"{03-2004-0411}","GTE OPERATIONS SUPPORT, INCORPORATED","GTE Corp","Verizon Communications"
"{02-2006-0027,09-2003-0225}","GTE Corporation","GTE Corp","Verizon Communications"
"{09-2005-0275}","GTE Communications System Corporation","GTE Corp","Verizon Communications"
"{04-2006-3758}","GREYHOUND LINES, INC.","Greyhound Lines",
"{09-2002-0174}","Greyhound Lines Inc.","Greyhound Lines",
"{04-2003-9004}","GREYHOUND BUS LINES, INC.","Greyhound Lines",
"{04-2004-9006}","GREAT LAKES NAVAL BASE BUILDING #325","US Navy","US Dept of Defense"
"{07-2001-0304}","GRANITE CONSTRUCTION","Granite Construction",
"{07-2001-0304}","GRANITE CONSTRUCTION","Granite Construction",
"{05-2005-0638}","GRAND TRUNK WESTERN RAILROAD INCORPORATED","Grand Trunk Western-Illinois Central RR","Canadian National Railway"
"{03-2001-0427}","GOODYEAR TIRE & TUBBER COMPANY (THE)","Goodyear Tire & Rubber",
"{07-2001-0304}","GOODYEAR TIRE & RUBBER COMPANY","Goodyear Tire & Rubber",
"{01-2009-0533}","GOODYEAR TIRE & RUBBER CO/KELLY SPRINGFIELD CO","Goodyear Tire & Rubber",
"{01-2004-0014}","GOODYEAR TIRE & RUBBER CO / KELLY-SPRINGFIELD CO","Goodyear Tire & Rubber",
"{03-2001-0427}","GOODYEAR TIRE & RUBBER","Goodyear Tire & Rubber",
"{02-2009-2006}","Goodyear Rubber Co of Southern California","Goodyear Tire & Rubber",
"{05-2004-0523}","GOODYEAR AEROSPACE CORPORATION","Goodyear Aerospace","Goodyear Tire & Rubber"
"{05-2009-1003}","GOODRICH CORPORATION","Goodrich Corp",
"{10-2008-0090}","Goodrich Corp.","Goodrich Corp",
"{04-2002-9002,04-2007-3759}","GOODRICH CORP.","Goodrich Corp",
"{02-2004-2011}","Goodrich Corp oboi & Kalama Specialty Chemicals In","Goodrich Corp",
"{02-2007-2009}","Goodrich Corp itself & Kalama Specialty Chemicals","Goodrich Corp",
"{02-2009-2006}","GlaxoSmithKline","GlaxoSmithKline",
"{03-2004-0411}","GLAXOSMITHKLINE","GlaxoSmithKline",
"{05-2009-1028}","Georgia-Pacific, LLC","Georgia-Pacific Corp","Koch Industries"
"{05-2007-0810,05-2007-0811}","GEORGIA-PACIFIC, LLC","Georgia-Pacific Corp","Koch Industries"
"{05-2007-0803,04-2004-3796}","GEORGIA-PACIFIC CORPORATION","Georgia-Pacific Corp","Koch Industries"
"{04-2002-3753}","Georgia-Pacific Corp.","Georgia-Pacific Corp","Koch Industries"
"{04-2003-3504}","GEORGIA-PACIFIC CORP.","Georgia-Pacific Corp","Koch Industries"
"{05-2008-0907,02-2009-2017}","Georgia-Pacific Consumer Products, LP","Georgia-Pacific Corp","Koch Industries"
"{02-2007-2023}","Georgia-Pacific Consumer Products LP","Georgia-Pacific Corp","Koch Industries"
"{04-2002-9002}","GEORGIA-PACIFIC","Georgia-Pacific Corp","Koch Industries"
"{02-2009-2006}","Georgia Power Company","Georgia Power","Southern Co"
"{09-2009-2527}","Georgia Pacific Corporation","Georgia-Pacific Corp","Koch Industries"
"{01-2001-0121,03-2001-0427}","GEORGIA PACIFIC CORPORATION","Georgia-Pacific Corp","Koch Industries"
"{09-2004-0357}","Georgia Pacific Corp.","Georgia-Pacific Corp","Koch Industries"
"{05-2009-1007}","GEORGIA PACIFIC CORP","Georgia-Pacific Corp","Koch Industries"
"{09-2007-0073,05-2007-0832}","Georgia Pacific","Georgia-Pacific Corp","Koch Industries"
"{02-2005-0025}","Genesco Inc.","Genesco Inc",
"{02-2006-0028}","Genesco inc","Genesco Inc",
"{04-2004-9006}","GENERAL SERVICES ADMINISTRATIVE/CIA","General Services Administration",
"{04-2001-9051}","GENERAL SERVICES ADMINISTRATIVE","General Services Administration",
"{09-2005-0067}","General Services Administration","General Services Administration",
"{05-2004-0524,05-2002-0373}","GENERAL SERVICES ADMINISTRATION","General Services Administration",
"{05-2003-0442}","GENERAL MOTORS INCORPORATED","General Motors",
"{05-2009-9908}","GENERAL MOTORS CORPORATION VAN SLYKE COMPLEX","General Motors",
"{02-2004-0006,02-2004-2011,02-2007-2006,02-2005-0014,02-2007-2009,02-2008-2011}","General Motors Corporation","General Motors",
"{04-2007-3759,05-2003-0405,05-2009-1003,03-2004-0087,05-2003-0445,05-2005-0635,05-2002-0390,05-2004-0526,05-2003-0436,03-2006-0051,04-2001-3754,03-2004-0088,05-2007-9912,05-2003-0415,05-2002-0389,02-2005-0016,03-2004-0088,03-2004-0411,05-2007-9913,03-2004-0087,07-2004-0256}","GENERAL MOTORS CORPORATION","General Motors",
"{02-2009-2006}","General Motors Corp.","General Motors",
"{02-2001-2001,02-2001-0006}","GENERAL MOTORS CORP","General Motors",
"{05-2007-0832}","General Motors","General Motors",
"{04-2004-9006,07-2007-0073,05-2006-0742}","GENERAL MOTORS","General Motors",
"{05-2004-0524}","GENERAL MILLS, INC./THE PILLSBURY COMPANY","General Mills",
"{09-2002-0184}","General Mills Inc.","General Mills",
"{01-2007-0507}","GENERAL ELECTRIC-SOMERWORTH","General Electric",
"{04-2003-3518}","GENERAL ELECTRIC COMPANY (GE COMPANY)","General Electric",
"{02-2007-0015,02-2002-2023,02-2008-2011,02-2005-0015,02-2004-0006,02-2003-2027,02-2006-0027,02-2003-0013,02-2004-2011,02-2007-2009,03-2007-0033,09-2009-2523}","General Electric Company","General Electric",
"{04-2002-9001,03-2004-0411,04-2005-9033,07-2001-0304,07-2009-0299,05-2003-0405,04-2001-3754,01-2009-5555,01-2009-5555,05-2005-0638,01-2002-0229}","GENERAL ELECTRIC COMPANY","General Electric",
"{02-2009-2006}","General Electric Co.","General Electric",
"{02-2001-2035}","GENERAL ELECTRIC CO.","General Electric",
"{02-2007-2006}","General Electric Co","General Electric",
"{02-2001-2001,01-2001-0165,03-2001-0427,01-2009-0533}","GENERAL ELECTRIC CO","General Electric",
"{05-2007-0832}","General Electric","General Electric",
"{04-2004-9006,04-2001-9015,01-2004-0014,01-2003-0004}","GENERAL ELECTRIC","General Electric",
"{04-2003-9004}","GENERAL DYNAMICS ORDNANCE & TACTICAL SYSTEMS","General Dynamics",
"{05-2003-0410}","GENERAL DYNAMICS ORDINANCE AND TATICAL SYSTEMS","General Dynamics",
"{04-2006-3758}","GENERAL DYNAMICS ORDANCE & TACTICAL SYSTEMS","General Dynamics",
"{02-2003-2012}","General Dynamics Land Systems Inc.","General Dynamics",
"{02-2009-2006}","General Dynamics Corp.","General Dynamics",
"{09-2009-2526,02-2009-2006}","General Atomics","General Atomics",
"{05-2005-0622}","GENERA SERVICES ADMINISTRATION","General Services Administration",
"{05-2004-0523}","GENCORP, INC.","GenCorp Inc",
"{01-2007-0507}","GENCORP INC","GenCorp Inc",
"{07-2001-0304,01-2006-0203}","GENCORP","GenCorp Inc",
"{05-2003-0405}","GEN CORP INC (GENERAL TIRE)","GenCorp Inc",
"{01-2009-0528}","GEN CORP INC","GenCorp Inc",
"{02-2009-2006}","GE Aviation Systems LLC","GE Aviation Systems","General Electric"
"{04-2004-9006}","GANNETT PACIFIC CORP)","Gannett Pacific Corp","Gannett Co"
"{09-2006-0081}","Gannett Co Inc","Gannett Co",
"{01-2003-0004}","GAF CORPORATION","GAF Corp","GI Holdings"
